LicenseNo,WIPlantNo,BusinessName,DBA,BusinessPhone,StreetAddress,City,StateZip,County,Municipality,GradeBProcessing1,GradeAPermitAuthorization,GeneralProcessing,SpecificProcessing,CheeseManufactured,VarianceStatus,VarianceDate
322508,55-296,"Imperia Foods, Inc.",Imperia Foods - Fall Creek,(715) 318-6524,"120 Brickyard St
",Fall Creek,"WI, 54742",Eau Claire ,Village of Fall Creek,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,"Asiago, Bleu, Brick, Caciocavallo Siciliano, Cheddar, Colby, Cold Pack Cheese/Cheese Food, Cook (Koch), Cream Cheese, Edam, Gammelost, Gorgonzola, Gouda, Granular and Stirred Curd, Grated Cheese, Gruyere, Hard, High Moisture Jack, Limburger, Monterey/Monterey Jack, Mozzarella, Muenster (Munster), Neufchatel, Nuworld, Parmesan and Reggiano, Pasteurized Blended Cheese, Pasteurized Cheese Spread, Pasteurized Neufchatel Cheese Spread, Pasteurized Process Cheese/Cheese Food, Pasteurized Processed Cheese Spread, Provolone, Romano, Roquefort, Samsoe, Sap Sago, Semisoft, Soft Ripened, Spiced, Swiss and Emmentaler",,
328689,55-456,Integrity Cheese Packaging of Wisconsin Inc.,Integrity Cheese Packaging Of WI,(920) 949-4994,"3610 Electric City Blvd
",Kaukauna,"WI, 54130",Outagamie ,City of Kaukauna,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk, Sheep Milk",Cut/Wrap/Shred,"Asiago, Brick, Cheddar, Colby, Edam, Gouda, Monterey/Monterey Jack, Mozzarella, Parmesan and Reggiano, Provolone, Romano, Swiss and Emmentaler",,
123140,55-9002,"J & L Hawkeye Dairy Store, Inc.",J & L Hawkeye Dairy Store,(715) 223-6358,"118 S 4th St
",Abbotsford,"WI, 54405",Marathon ,City of Abbotsford,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
259140,55-885,"James Curran, Susan Curran",Curran's Foods,(608) 966-3361,"1750 W Puddle Dock Rd
",Argyle,"WI, 53504",Lafayette ,Town of Adams,"Grade B Processing <= 1,000,000 lbs product per year",,,Cut/Wrap/Shred,,,
123145,55-9008,"Jeneil Biotech, Inc.","JENEIL BIOTECH, INC.",(262) 268-6815,"400 N Dekora Woods Blvd
",Saukville,"WI, 53080",Ozaukee ,Village of Saukville,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Powder Mixing/Blending,"Other, Pasteurized Blended Cheese, Pasteurized Process Cheese/Cheese Food",,
266102,55-717,Jenifer M. Brozak,Bear Valley Affinage,(608) 585-4535,"27017 State Road 130
",Hillpoint,"WI, 53937",Richland ,Town of Ithaca,"Grade B Processing <= 1,000,000 lbs product per year",,Sheep Milk,"Affinage (Aging), Cut/Wrap/Shred",,,
122939,55-319,"Joe's Cheese House, Inc.",,(715) 735-6922,"1905 Dunlap Ave
",Marinette,"WI, 54143",Marinette ,City of Marinette,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,,,,
306930,55-214,Joshua J Bryceson,Cosmic Wheel Creamery,(715) 268-9311,"260 95th St
",Clear Lake,"WI, 54005",Polk ,Town of Black Brook,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cheese Processing, Frozen Dairy Products, Pasteurizer - Batch, Raw Milk Cheese","Asiago, Cheddar, Gouda, Gruyere, Monterey/Monterey Jack, Other, Romano, Soft Ripened",,
504877,55-1051,Juda Tank Wash LLC,,(608) 844-8505,"N2469 County Road S
",Juda,"WI, 53550",Green ,Town of Jefferson,,Grade A Transfer Station,Bovine Milk,,,,
322313,55-413,Kandyman Can LLC,Mullen's Dairy Bar,(920) 390-4606,"212 W Main St
",Watertown,"WI, 53094",Jefferson ,City of Watertown,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
257757,55-937,Kelley Country Creamery LLC,,(920) 923-1715,"W5215 County Road B
",Fond du Lac,"WI, 54937",Fond du Lac ,Town of Byron,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
501338,55-72,"Kerry Biofunctional Ingredients, Inc",Kerry,(715) 571-1795,"10202 Foremost Drive
",Rothschild,"WI, 54474",Marathon ,Village of Rothschild,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Condensary/Evap, Drying Operation, Pasteurizer - HTST, Powder Mixing/Blending, Whey/Whey By Products",,,
122886,55-210,Kerry Inc.,Kerry Ingredients,(262) 423-2000,"N168W21455 Main St
",Jackson,"WI, 53037",Washington ,Village of Jackson,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing <= 2,000,000 lbs. milk received per year","ACaSS, Bovine Milk","Drying Operation, Powder Mixing/Blending",,,
122917,55-281,Kerry Inc.,Kerry,(715) 229-2141,"324 N Harding St
",Owen,"WI, 54460",Clark ,City of Owen,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Drying Operation, Pasteurizer - HTST, Powder Mixing/Blending",,,
123052,55-777,Kerry Inc.,Kerry Ingredients & Flavours,(715) 569-4101,"6574 Ryland Ave
",Vesper,"WI, 54489",Wood ,Village of Vesper,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Pasteurizer - HTST, Powder Mixing/Blending",,,
311062,55-269,Kickaas LLC,Kickaas LLC or The Cheese People or Stamper Cheese,(920) 510-3844,"W10198 Oak Grove Rd
",Clintonville,"WI, 54305",Shawano ,Town of Pella,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred","Mozzarella, Neufchatel, Soft Ripened",,
317512,55-362,King Cone LLC,,(715) 498-5432,"2534 Post Rd
",Plover,"WI, 54467",Portage ,Village of Plover,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
331344,55-127,Kingston Cheese Cooperative,,(920) 394-3433,"W4481 County Road GG
",Cambria,"WI, 53923",Green Lake ,Town of Manchester,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk","Affinage (Aging), Brine System, Cheese Processing, Cut/Wrap/Shred, Pasteurizer - HTST","Bleu, Gorgonzola",,
331497,55-373,Kitchen Fresh Foods LLC,,(920) 680-9739,"1375 Gruber Rd
",Green Bay,"WI, 54313",Brown ,Village of Howard,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
502002,55-510,"Klemish Creamery, LLC",,(715) 642-1589,"22474 52nd St
",New Auburn,"WI, 54757",Chippewa ,Town of Auburn,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Frozen Dairy Products, Pasteurizer - Batch",,,
122812,55-48,Klondike Cheese Co.,Klondike Cheese Co,(608) 325-3021,"W7839 State Road 81 W
",Monroe,"WI, 53566",Green ,Town of Jordan,,"Grade A Processing > 2,000,000 lbs. milk received per year",Bovine Milk,"Cheese Processing, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products, Yogurt","Brick, Gouda, Muenster (Munster), Other",Approved Variance,
313519,55-299,Kohler Co.,The American Club,(920) 457-4442 x50018,"419 Highland Dr
",Kohler,"WI, 53044",Sheboygan ,Village of Kohler,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
122800,55-29,Kraemer Wisconsin Cheese Ltd.,Kraemer Wisconsin Cheese,(920) 261-6363,"1173 N 4th St
",Watertown,"WI, 53098",Jefferson ,City of Watertown,"Grade B Processing <= 1,000,000 lbs product per year",,"Bovine Milk, Retail Store","Cheese Processing, Cut/Wrap/Shred",Cold Pack Cheese/Cheese Food,,
122850,55-117,Kraft Heinz Foods Company,,(920) 356-2364,"419 S Center St
",Beaver Dam,"WI, 53916",Dodge ,City of Beaver Dam,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Cheese Processing, Membrane Processing, Pasteurizer - HTST","Cream Cheese, Pasteurized Process Cheese/Cheese Food",,
122828,55-65,Kwik Trip Inc,Kwik Trip Dairy,(608) 793-6262,"1626 Oak St
",La Crosse,"WI, 54603",La Crosse ,City of La Crosse,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year",Bovine Milk,"Fluid Milk, Frozen Dairy Products, Single Service - Grade A",,,
272227,55-2200,"Kwik Trip, Inc.",Kwik Trip Deli/Dairy #849,(608) 793-6038,"2200 Palace St
",La Crosse,"WI, 54602",La Crosse ,City of La Crosse,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
557260,55-1980,"La Vaquita, Inc","La Vaquita, Inc",(608) 325-4395,"2903 3rd St N
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred, Pasteurizer - HTST, Whey/Whey By Products",Other,,
122906,55-266,"Laack Brothers Cheese Company, Inc.",Laack Brothers Cheese,(920) 864-2815,"7050 Morrison Rd
",Greenleaf,"WI, 54126",Brown ,Town of Morrison,"Grade B Processing <= 1,000,000 lbs product per year",,,Cut/Wrap/Shred,Pasteurized Process Cheese/Cheese Food,,
331805,55-90,"LaClare Creamery, LLC","LaClare Creamery, LLC",(920) 670-0051 x205,"W2994 County Road HH
",Malone,"WI, 53049",Fond du Lac ,Town of Calumet,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk","Affinage (Aging), Brine System, Cheese Processing, Cut/Wrap/Shred, Whey/Whey By Products","Cheddar, Gouda, Hard, Monterey/Monterey Jack, Muenster (Munster), Semisoft, Soft Ripened",,
198278,55-62,"Lactalis American Group, Inc.","Lactalis USA, Inc.",(608) 762-5173,"218 S Park St
",Belmont,"WI, 53510",Lafayette ,Village of Belmont,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred",Other,,
504216,55-297,"Lactalis Heritage Dairy, Inc.","Lactalis Heritage Dairy, Inc.",(715) 842-2077,"1007 Townline Rd
",Wausau,"WI, 54403",Marathon ,City of Wausau,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred, Powder Mixing/Blending","Asiago, Parmesan and Reggiano, Romano",,
198286,55-600,"Lactalis Usa, Inc.","Lactalis USA, Inc.",(715) 675-3326,"8100 County Road K S
",Merrill,"WI, 54452",Marathon ,Town of Maine,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cheese Processing,"Cold Pack Cheese/Cheese Food, Cream Cheese, Pasteurized Process Cheese/Cheese Food",,
123045,55-706,"LaGrander's Hillside Dairy, Inc.",Lagranders Hillside Dairy Inc.,(715) 644-2275 x803,"W11299 Broek Rd
",Stanley,"WI, 54768",Clark ,Town of Worden,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Cheese Processing, Membrane Processing, Pasteurizer - HTST","Cheddar, Colby, Monterey/Monterey Jack",,
123018,55-505,"Lake Country Dairy, Inc.",,(715) 788-6143,"458 Western Blvd
",Turtle Lake,"WI, 54889",Polk ,Village of Turtle Lake,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products","Asiago, Other, Parmesan and Reggiano, Romano",,
123003,55-457,"Lamers Dairy, Inc.","Lamers Dairy, Inc.",(920) 830-0980,"N410 Speel School Rd
",Appleton,"WI, 54915",Outagamie ,Town of Buchanan,,"Grade A Processing > 2,000,000 lbs. milk received per year","Bovine Milk, Custom Processing, Retail Store","Cream, Fluid Milk, Frozen Dairy Products, Non-Dairy - Juice, Pasteurizer - HTST",,,
122820,55-57,"Land O'Lakes, Inc.",Land O Lakes - Cheese Division,(715) 659-2311,"306 Park St
",Spencer,"WI, 54479",Marathon ,Village of Spencer,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Powder Mixing/Blending,Pasteurized Process Cheese/Cheese Food,,
313361,55-133,"Land O'Lakes, Inc.",Land O'Lakes,(608) 489-9000,"186 E Madison St
",Hillsboro,"WI, 54634",Vernon ,City of Hillsboro,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Butter Processing,,,
122986,55-398,"Land O'Lakes, Inc.",Land O Lakes Inc.,(920) 797-5163,"927 8th St
",Kiel,"WI, 53042",Calumet ,City of Kiel,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,"ACaSS, Bovine Milk","Cheese Processing, Condensary/Evap, Powder Mixing/Blending, Whey/Whey By Products","Cheddar, Monterey/Monterey Jack",,
520886,55-1352,Landmark Creamery LLC,,(608) 886-8801,"6858 Paoli Rd
",Belleville,"WI, 53508",Dane ,Town of Montrose,"Grade B Processing <= 1,000,000 lbs product per year",,"Bovine Milk, Sheep Milk","Butter Processing, Cheese Processing, Cream, Cut/Wrap/Shred, Frozen Dairy Products, Pasteurizer - Batch",Other,,
296075,55-184,"Lifeway Wisconsin, Inc.","Lifeway Foods, Inc.",(262) 312-5000,"2101 Delafield St
",Waukesha,"WI, 53188",Waukesha ,City of Waukesha,,"Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Pasteurizer - HTST, Yogurt",,,
541754,55-875,Lineage Logistics LLC,Lineage Logistics,(715) 544-4565,"5700 Em Copps Dr
",Stevens Point,"WI, 54482",Portage ,Town of Stockton,"Grade B Processing <= 1,000,000 lbs product per year",,Custom Processing,"Cut/Wrap/Shred, Frozen Dairy Products",Mozzarella,,
540775,55-598,"Link Snacks, Inc.",LSI,(608) 527-4610,"200 Industrial Dr
",New Glarus,"WI, 53574",Green ,Village of New Glarus,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
327399,55-378,"Lipari Food Operating Company, LLC",The Deli Source,(920) 478-3571,"410 Portland Rd
",Waterloo,"WI, 53594",Jefferson ,City of Waterloo,"Grade B Processing > 1,000,000 lbs product per year",,,Cut/Wrap/Shred,,,
525707,55-2526,"Lipari Food Operating Company, LLC",The Deli Source,(920) 478-3571,"4550 70th Ave
",Kenosha,"WI, 53144",Kenosha ,City of Kenosha,"Grade B Processing > 1,000,000 lbs product per year",,,Cut/Wrap/Shred,,,
564427,55-261,Lipari Foods Operating Co. LLC,Crystal Farms Dairy Co.,(920) 648-7342,"480 N Cp Ave
",Lake Mills,"WI, 53551",Jefferson ,City of Lake Mills,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
537146,55-796,Lotus Creamery LLC,,(763) 398-9463,"502 2nd St Ste 101
",Hudson,"WI, 54016",Saint Croix ,City of Hudson,"Grade B Processing <= 1,000,000 lbs product per year",,,Frozen Dairy Products,,,
122823,55-60,"Lynn Dairy, Inc.",Granton Cheese,(715) 238-7129,"W4510 Meridian Ave
",Granton,"WI, 54436",Clark ,Town of Lynn,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,,,,
123097,55-1522,"Lynn Dairy, Inc.","Lynn Dairy, Inc.",(715) 238-7129,"W1929 US Highway 10
",Granton,"WI, 54436",Clark ,Town of Lynn,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Cheese Processing, Pasteurizer - HTST","Cheddar, Colby, Granular and Stirred Curd, Monterey/Monterey Jack, Mozzarella",,
122864,55-139,"Lynn Proteins, Inc.","Lynn Proteins, Inc.",(715) 238-7129,"W1933 US Highway 10
",Granton,"WI, 54436",Clark ,Town of Lynn,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Condensary/Evap, Membrane Processing, Powder Mixing/Blending, Whey/Whey By Products",,,
528737,55-1245,"Maggie's Farm, LLC",Maggie's Farm LLC,(920) 636-9089,"N2926 Will Rd
",Jefferson,"WI, 53549",Jefferson ,Town of Jefferson,"Grade B Processing <= 1,000,000 lbs product per year",,Sheep Milk,"Affinage (Aging), Brine System, Cheese Processing, Cut/Wrap/Shred, Pasteurizer - Batch","Cheddar, Gouda, Other",,
215446,55-100,Malcore Foods Inc.,"Malcore Foods, Inc.",(920) 733-1556,"237 E Calumet St
",Appleton,"WI, 54915",Calumet ,City of Appleton,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,"Cold Pack Cheese/Cheese Food, Cream Cheese",,
123100,55-1551,"Maple Grove Cheese, Inc","Maple Grove Cheese, Inc.",(715) 652-2619,"10498 Mayflower Rd
",Milladore,"WI, 54454",Wood ,Town of Milladore,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cheese Processing,"Cheddar, Gouda, Monterey/Monterey Jack",,
123071,55-1012,"Maple Island, Inc.","Maple Island, Inc. ",(715) 748-3900 x231,"335 S Wisconsin Ave
",Medford,"WI, 54451",Taylor ,City of Medford,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Powder Mixing/Blending,,,
508253,55-8976,Maple Leaf Cheese Store LLC,,(608) 934-1237,"W2616 State Road 11 and 81
",Juda,"WI, 53550",Green ,Town of Jefferson,"Grade B Processing <= 1,000,000 lbs product per year",,,Cut/Wrap/Shred,,,
316463,55-348,"Maple Leaf Sales, Inc.",,(608) 934-1234,"461 17th Ave
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cut/Wrap/Shred",,,
122821,55-58,Marathon Cheese Corporation,,(715) 443-9447,"304 East St
",Marathon,"WI, 54448",Marathon ,Village of Marathon City,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Cut/Wrap/Shred,,,
122914,55-277,Marathon Cheese Corporation,,(715) 443-9447,"1000 Progressive Ave
",Medford,"WI, 54451",Taylor ,City of Medford,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Cut/Wrap/Shred,,,
122923,55-295,Marathon Cheese Corporation,,(715) 443-9447,"701 8th St
",Marathon,"WI, 54448",Marathon ,Village of Marathon City,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
501337,55-149,Mark McDonald,Cow Caviar,(715) 456-9395,"22 S Prairie St
",Chippewa Fls,"WI, 54729",Chippewa ,City of Chippewa Falls,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,Cold Pack Cheese/Cheese Food,,
325419,55-429,Mary V Falk,LoveTree Farmstead Cheese,,"12413 County Road Z
",Grantsburg,"WI, 54840",Burnett ,Town of Trade Lake,"Grade B Processing <= 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk, Sheep Milk",Affinage (Aging),,,
123147,55-9010,Mary V Falk,Love Tree Farmstead,,"12413 County Road Z
",Grantsburg,"WI, 54840",Burnett ,Town of Trade Lake,"Grade B Processing <= 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk, Sheep Milk",,,Approved Variance,12/30/2014
122898,55-245,"Masters Gallery Foods, Incorporated","Masters Gallery Foods, Inc.",(920) 893-8431,"411 County Road PP
",Plymouth,"WI, 53073",Sheboygan ,Town of Plymouth,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Cut/Wrap/Shred,,,
328177,55-453,"Masters Gallery Foods, Incorporated",,(920) 893-8431,"621 N Business Park Dr
",Oostburg,"WI, 53070",Sheboygan ,Village of Oostburg,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
122952,55-338,Mauel's Dairy Inc.,,(715) 229-2294,"607 W 3rd St
",Owen,"WI, 54460",Clark ,City of Owen,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
309171,55-246,McCluskey Brothers,,(608) 495-2552,"S7863 Highway G
",Hill Point,"WI, 53937",Sauk ,Town of Bear Creek,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cut/Wrap/Shred",,,
279532,55-445,MCT Manufacturing LLC,Bella Pak LLC,(920) 735-4919,"2358 W Packard St
",Appleton,"WI, 54914",Outagamie ,Town of Grand Chute,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Cut/Wrap/Shred, Powder Mixing/Blending",,,
141050,55-1457,"Meister Cheese Company, LLC",Meister Cheese Co LLC,(608) 739-3134,"1160 Industrial Dr
",Muscoda,"WI, 53573",Iowa ,Village of Muscoda,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Brine System, Cheese Processing, Cut/Wrap/Shred, Membrane Processing, Pasteurizer - HTST, Powder Mixing/Blending, Whey/Whey By Products","Brick, Cheddar, Colby, Gouda, Hard, Monterey/Monterey Jack, Mozzarella, Muenster (Munster), Parmesan and Reggiano, Provolone, Semisoft, Washed Curd and Soaked Curd",,
123135,55-8991,"Mexican Cheese Producers, Inc.",Mexican Cheese Producers,(608) 776-8555 x78536,"2010 Center Dr
",Darlington,"WI, 53530",Lafayette ,City of Darlington,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing <= 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Cheese Processing, Cream, Cut/Wrap/Shred, Sour Cream",,,
509899,55-438,"MHF Opco, LLC",,(616) 295-6438,"2001 Haven Dr
",Tomah,"WI, 54660",Monroe ,City of Tomah,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Powder Mixing/Blending,,,
509900,55-759,"MHF Opco, LLC",,(616) 295-6438,"211 Leer St
",New Lisbon,"WI, 53950",Juneau ,City of New Lisbon,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Powder Mixing/Blending,,,
330820,55-351,"Miesfeld's Triangle Market, LLC","Miesfeld's Triangle Market, LLC",(920) 565-6328,"4811 Venture Dr
",Sheboygan,"WI, 53083",Sheboygan ,Town of Sheboygan,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,,,,
292659,55-80,"Mike's Mix, LLC","Mike's Mix, LLC",(608) 320-1090,"30 Brodhead St
",Mazomanie,"WI, 53560",Dane ,Village of Mazomanie,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Powder Mixing/Blending, Whey/Whey By Products",,,
263092,55-3,Milk Specialties Company,"Milk Specialties Global, Actus Nutrition",(608) 366-2156,"325 Tompkins St
",Fond du Lac,"WI, 54935",Fond du Lac ,City of Fond du Lac,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Membrane Processing, Pasteurizer - HTST, Powder Mixing/Blending, Whey/Whey By Products",,Conditional Variance,01/24/2013
545435,55-7,Milk Specialties Company,"Milk Specialties Global, Actus Nutrition",(608) 366-2156,"427 E Wisconsin St
",Sparta,"WI, 54656",Monroe ,City of Sparta,"Grade B Processing > 1,000,000 lbs product per year",,ACaSS,"Condensary/Evap, Drying Operation, Membrane Processing, Pasteurizer - HTST, Powder Mixing/Blending, Whey/Whey By Products",,,
317859,55-388,Milk Specialties Company,"Milk Specialties Global, Actus Nutrition",(608) 366-2156,"245 11th St
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Whey/Whey By Products,,,
122853,55-120,"Mosinee Cold Storage, Inc.",,(715) 693-2130,"751 Maple Ridge Rd
",Mosinee,"WI, 54455",Marathon ,City of Mosinee,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
536511,55-268,Mousehouse Cheesehaus Inc,Mousehouse Cheesehaus ,(608) 846-4455 x228,"4494 Lake Cir
",Windsor,"WI, 53598",Dane ,Village of Windsor,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Retail Store",Cut/Wrap/Shred,,,
123111,55-1854,"Mullins' Cheese, Inc.",Mullins' Cheese/Mullins' Whey,(715) 693-3205 x273,"204000 County Road DB
",Mosinee,"WI, 54455",Marathon ,Town of Knowlton,,Grade A Receiving Station,Bovine Milk,"Cheese Processing, Membrane Processing, Powder Mixing/Blending, Whey/Whey By Products","Asiago, Brick, Cheddar, Colby, Monterey/Monterey Jack, Mozzarella, Parmesan and Reggiano, Romano",,
123112,55-1855,"Mullins' Cheese, Inc.","Mullins' Cheese, Inc.",(715) 693-3205 x273,"115454 County Road C
",Marshfield,"WI, 54449",Marathon ,Town of McMillan,,Grade A Receiving Station,Bovine Milk,"Cheese Processing, Membrane Processing, Whey/Whey By Products","Asiago, Brick, Cheddar, Colby, Edam, Gouda, Monterey/Monterey Jack, Mozzarella, Parmesan and Reggiano, Provolone, Romano",,
122805,55-39,Muscoda Protein Products LLP,Muscoda Protein Products,(608) 739-3134,"960 Industrial St
",Muscoda,"WI, 53573",Iowa ,Village of Muscoda,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Condensary/Evap, Membrane Processing, Powder Mixing/Blending, Whey/Whey By Products",,,
123093,55-1499,"Nasonville Dairy, Inc.","Nasonville Dairy, Inc.",(715) 676-2177,"10898 US Highway 10 W
",Marshfield,"WI, 54449",Wood ,Town of Rock,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products","Asiago, Brick, Cheddar, Colby, Gouda, Monterey/Monterey Jack, Parmesan and Reggiano, Provolone, Romano",,
248479,55-990,"Nasonville Mail Order, LLC",Nasonville Mail Order,(715) 223-3338,"N14505 Sandhill Ave
",Curtiss,"WI, 54422",Clark ,Town of Mayville,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cheese Processing,"Cheddar, Colby, Monterey/Monterey Jack",,
332109,55-8,"NDSM De Pere, LLC","Morning Glory De Pere, LLC",(920) 338-3577,"3399 S Ridge Rd
",De Pere,"WI, 54115",Brown ,Village of Ashwaubenon,,"Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Fluid Milk, Pasteurizer - HTST, Sour Cream",Skim Milk for Mfg.,,
123148,55-9011,"NFO, Inc.",N F O Eastern Wis Dairy Office,(515) 598-4646,"N5541 Miranda Way
",Fond du Lac,"WI, 54937",Fond du Lac ,Town of Fond du Lac,,Grade A Receiving Station,Bovine Milk,,,,
281918,55-255,"North Star Homestead Farms, LLC",Farmstead Creamery,(715) 462-3453,"11077 N Fullington Rd
",Hayward,"WI, 54843",Sawyer ,Town of Round Lake,"Grade B Processing <= 1,000,000 lbs product per year",,Sheep Milk,"Cheese Processing, Frozen Dairy Products, Pasteurizer - Batch",Other,,
123067,55-939,"Oak Grove Dairy, Inc.",,(715) 823-6226,"W10198 Oak Grove Rd
",Clintonville,"WI, 54929",Shawano ,Town of Pella,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cheese Processing,"Cheddar, Colby, Monterey/Monterey Jack",,
325421,55-430,Old Country Cheese LLC,Old Country Cheese,(608) 654-5411,"S502 County Road D
",Cashton,"WI, 54019",Vernon ,Town of Clinton,"Grade B Processing <= 1,000,000 lbs product per year",,"Bovine Milk, Retail Store",Cut/Wrap/Shred,,,
520683,55-1313,Old Country Farms Co-op,Old Country Farms Co-op,(608) 654-5580,"S510 County Hwy D
",Cashton,"WI, 54619",Vernon ,Town of Clinton,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk","Brine System, Cheese Processing, Cut/Wrap/Shred, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products","Asiago, Brick, Cheddar, Colby, Gouda, Granular and Stirred Curd, Monterey/Monterey Jack, Mozzarella, Muenster (Munster), Parmesan and Reggiano, Provolone, Romano, Semisoft, Spiced",,
